Thread,Input,Output,Active Cycles,Work Score,Utilization (%)
716,503,168553,719,41.63,0.16
717,657,94315510,845,48.93,0.19
718,420,24607870,420,24.32,0.09
719,871,380625,996,57.67,0.22
720,1028,704278,1469,85.06,0.32
721,1044,378753834,1644,95.19,0.36
722,922,426554,1186,68.67,0.26
723,483,37443172,690,39.95,0.15
724,450,30273825,450,26.06,0.10
725,178,16184,256,14.82,0.06
726,1010,679393,1010,58.48,0.22
727,489,38857664,769,44.53,0.17
728,381,18362930,436,25.25,0.10
729,386,99073,442,25.59,0.10
730,1096,602250,1253,72.55,0.28
731,451,102375,516,29.88,0.11
732,1073,767299,1535,88.88,0.34
733,803,429682,1148,66.47,0.25
734,971,627913,1110,64.27,0.24
735,637,203928,819,47.42,0.18
736,1097,801698,1411,81.70,0.31
737,289,42444,457,26.46,0.10
738,300,8955050,300,17.37,0.07
739,734,359311,1154,66.82,0.26
740,788,413776,1127,65.26,0.25
741,227,34234,293,16.97,0.07
742,1023,356343736,1464,84.77,0.33
743,1077,415834880,1385,80.20,0.31
744,539,193783,847,49.04,0.19
745,1082,779916,1392,80.60,0.31
746,693,110697807,990,57.32,0.22
747,942,278188906,1212,70.18,0.27
748,640,205760,640,37.06,0.14
749,365,88573,365,21.13,0.08
750,1065,402082940,1065,61.67,0.24
751,920,563653,920,53.27,0.20
752,310,48515,310,17.95,0.07
753,887,524048,1141,66.07,0.25
754,304,46926,480,27.79,0.11
755,1012,513732,1302,75.39,0.29
756,317,66827,409,23.68,0.09
757,566,213193,647,37.46,0.14
758,401,106933,459,26.58,0.10
759,599,239317,943,54.60,0.21
760,852,205794048,1096,63.46,0.24
761,750,140343875,750,43.43,0.17
762,950,601033,950,55.01,0.21
763,825,186831700,825,47.77,0.18
764,453,30884225,648,37.52,0.14
765,173,19912,248,14.36,0.06
766,362,87173,466,26.98,0.10
767,802,322917,1032,59.76,0.23
768,363,15878381,519,30.05,0.12
769,914,557107,1438,83.27,0.32
770,437,127084,563,32.60,0.13
771,1051,553875,1202,69.60,0.27
772,1042,544591,1340,77.59,0.30
773,360,15487260,360,20.85,0.08
774,381,18362930,436,25.25,0.10
775,833,462394,1190,68.91,0.26
776,695,321553,695,40.24,0.15
777,326,70633,373,21.60,0.08
778,675,102287925,675,39.09,0.15
779,235,27965,235,13.61,0.05
780,592,176202,762,44.12,0.17
781,640,205760,640,37.06,0.14
782,1055,741313,1055,61.09,0.23
783,154,12219,242,14.01,0.05
784,779,404713,1227,71.05,0.27
785,611,248473,699,40.47,0.16
786,1066,569775,1219,70.58,0.27
787,996,328853470,1139,65.95,0.25
788,1077,415834880,1385,80.20,0.31
789,720,124156920,720,41.69,0.16
790,847,360093,1089,63.06,0.24
791,830,458713,830,48.06,0.18
792,722,347145,930,53.85,0.21
793,1050,385323925,1050,60.80,0.23
794,555,56830705,555,32.14,0.12
795,427,91863,549,31.79,0.12
796,123,612799,177,10.25,0.04
797,170,19153,170,9.84,0.04
798,130,8645,130,7.53,0.03
799,386,99073,442,25.59,0.10
800,336,12587960,384,22.24,0.09
801,819,182783211,1287,74.52,0.29
802,690,109265065,690,39.95,0.16
803,630,83150655,630,36.48,0.14
804,1079,776371,1699,98.38,0.38
805,971,627913,1110,64.27,0.25
806,363,15878381,519,30.05,0.12
807,1026,359489025,1173,67.92,0.26
808,197,25770,255,14.77,0.06
809,290,55873,290,16.79,0.07
810,161,17173,184,10.65,0.04
811,1041,375495640,1190,68.91,0.27
812,182,21987,234,13.55,0.05
813,469,111084,737,42.68,0.17
814,1095,437044795,1095,63.40,0.25
815,861,212388610,984,56.98,0.22
816,980,639613,980,56.75,0.22
817,414,23567379,654,37.87,0.15
818,110,7993,110,6.37,0.02
819,310,48515,310,17.95,0.07
820,386,99073,442,25.59,0.10
821,857,489184,1103,63.87,0.25
822,1040,720373,1040,60.22,0.23
823,1008,340890072,1440,83.38,0.32
824,807,174860607,1039,60.16,0.23
825,847,360093,1089,63.06,0.24
826,335,74593,335,19.40,0.08
827,831,190940255,950,55.01,0.21
828,269,48295,425,24.61,0.10
829,717,122610449,923,53.45,0.21
830,469,111084,737,42.68,0.17
831,506,170353,579,33.53,0.13
832,436,95700,499,28.89,0.11
833,1059,395323141,1667,96.53,0.38
834,1036,538200,1184,68.56,0.27
835,416,115093,476,27.56,0.11
836,282,7435582,364,21.08,0.08
837,652,213621,840,48.64,0.19
838,694,242457,1094,63.35,0.25
839,732,130473371,942,54.55,0.22
840,842,472202,1084,62.77,0.25
841,756,143741430,864,50.03,0.20
842,673,227762,964,55.82,0.22
843,925,429200,925,53.56,0.21
844,477,36063495,615,35.61,0.14
845,1021,522750,1167,67.57,0.27
846,1038,372257522,1485,85.99,0.34
847,709,253014,1117,64.68,0.26
848,687,107845130,885,51.24,0.20
849,1048,551171,1498,86.74,0.35
850,919,424449,1447,83.79,0.33
851,973,475238,1390,80.49,0.32
852,158,16606,227,13.14,0.05
853,211,22575,242,14.01,0.06
854,233,36139,335,19.40,0.08
855,865,375410,865,50.09,0.20
856,311,64273,356,20.61,0.08
857,468,34058511,669,38.74,0.15
858,948,283541678,1356,78.52,0.31
859,480,36748880,480,27.79,0.11
860,1086,426351835,1242,71.92,0.29
861,670,225455,670,38.80,0.15
862,238,28778,340,19.69,0.08
863,422,118502,544,31.50,0.13
864,981,314211030,1122,64.97,0.25
865,527,184877,679,39.32,0.15
866,1090,595685,1090,63.12,0.24
867,164,17965,260,15.06,0.06
868,1079,776371,1699,98.38,0.38
869,685,235640,685,39.66,0.15
870,148,11237,214,12.39,0.05
871,821,448813,939,54.37,0.21
872,693,110697807,990,57.32,0.22
873,1073,767299,1535,88.88,0.34
874,998,663766,1427,82.63,0.32
875,422,118502,544,31.50,0.12
876,994,496359,1562,90.45,0.35
877,289,42444,457,26.46,0.10
878,1031,707953,1179,68.27,0.26
879,933,270287392,1335,77.30,0.30
880,589,174852,929,53.79,0.21
881,203,27424,290,16.79,0.06
882,158,16606,227,13.14,0.05
